"","DT","Temp","Site"
"149",2022-01-21,39.6525,"Vertical Bay Farm"
"150",2022-01-22,39.1804166666667,"Vertical Bay Farm"
"151",2022-01-23,39.0841666666667,"Vertical Bay Farm"
"152",2022-01-24,38.95625,"Vertical Bay Farm"
"153",2022-01-25,38.9925,"Vertical Bay Farm"
"154",2022-01-26,39.065,"Vertical Bay Farm"
"155",2022-01-27,38.765,"Vertical Bay Farm"
"156",2022-01-28,38.4325,"Vertical Bay Farm"
"157",2022-01-29,37.6920833333333,"Vertical Bay Farm"
"158",2022-01-30,37.2325,"Vertical Bay Farm"
"159",2022-01-31,37.34,"Vertical Bay Farm"
"160",2022-02-01,37.0741666666667,"Vertical Bay Farm"
"161",2022-02-02,37.1383333333333,"Vertical Bay Farm"
"162",2022-02-03,37.1541666666667,"Vertical Bay Farm"
"163",2022-02-04,36.5466666666667,"Vertical Bay Farm"
"164",2022-02-05,36.1295833333333,"Vertical Bay Farm"
"165",2022-02-06,36.15875,"Vertical Bay Farm"
"166",2022-02-07,36.01,"Vertical Bay Farm"
"167",2022-02-08,35.97,"Vertical Bay Farm"
"168",2022-02-09,36.0754166666667,"Vertical Bay Farm"
"169",2021-08-26,57.4385714285714,"Acadia Aqua Farm"
"170",2021-08-27,56.6083333333333,"Acadia Aqua Farm"
"171",2021-08-28,56.0175,"Acadia Aqua Farm"
"172",2021-08-29,55.7266666666667,"Acadia Aqua Farm"
"173",2021-08-30,55.9595833333333,"Acadia Aqua Farm"
"174",2021-08-31,55.9520833333333,"Acadia Aqua Farm"
"175",2021-09-01,55.7545833333333,"Acadia Aqua Farm"
"176",2021-09-02,56.3216666666667,"Acadia Aqua Farm"
"177",2021-09-03,55.36125,"Acadia Aqua Farm"
"178",2021-09-04,55.6520833333333,"Acadia Aqua Farm"
"179",2021-09-05,56.3358333333333,"Acadia Aqua Farm"
"180",2021-09-06,56.8416666666667,"Acadia Aqua Farm"
"181",2021-09-07,56.8858333333333,"Acadia Aqua Farm"
"182",2021-09-08,57.01625,"Acadia Aqua Farm"
"183",2021-09-09,57.5604166666667,"Acadia Aqua Farm"
"184",2021-09-10,57.8579166666667,"Acadia Aqua Farm"
"185",2021-09-11,57.14125,"Acadia Aqua Farm"
"186",2021-09-12,57.0758333333333,"Acadia Aqua Farm"
"187",2021-09-13,57.31,"Acadia Aqua Farm"
"188",2021-09-14,56.76125,"Acadia Aqua Farm"
"189",2021-09-15,56.7945833333333,"Acadia Aqua Farm"
"190",2021-09-16,57.3125,"Acadia Aqua Farm"
"191",2021-09-17,57.1616666666667,"Acadia Aqua Farm"
"192",2021-09-18,57.14625,"Acadia Aqua Farm"
"193",2021-09-19,56.9854166666667,"Acadia Aqua Farm"
"194",2021-09-20,56.8383333333333,"Acadia Aqua Farm"
"195",2021-09-21,57.2058333333333,"Acadia Aqua Farm"
"196",2021-09-22,57.5358333333333,"Acadia Aqua Farm"
"197",2021-09-23,57.7958333333333,"Acadia Aqua Farm"
"198",2021-09-24,58.12375,"Acadia Aqua Farm"
"199",2021-09-25,58.2254166666667,"Acadia Aqua Farm"
"200",2021-09-26,57.7820833333333,"Acadia Aqua Farm"
"201",2021-09-27,57.0283333333333,"Acadia Aqua Farm"
"202",2021-09-28,57.2116666666667,"Acadia Aqua Farm"
"203",2021-09-29,56.7758333333333,"Acadia Aqua Farm"
"204",2021-09-30,56.4683333333333,"Acadia Aqua Farm"
"205",2021-10-01,56.4720833333333,"Acadia Aqua Farm"
"206",2021-10-02,56.5375,"Acadia Aqua Farm"
"207",2021-10-03,56.6183333333333,"Acadia Aqua Farm"
"208",2021-10-04,56.7179166666667,"Acadia Aqua Farm"
"209",2021-10-05,56.8233333333333,"Acadia Aqua Farm"
"210",2021-10-06,56.9383333333333,"Acadia Aqua Farm"
"211",2021-10-07,57.0891666666667,"Acadia Aqua Farm"
"212",2021-10-08,57.18,"Acadia Aqua Farm"
"213",2021-10-09,57.3725,"Acadia Aqua Farm"
"214",2021-10-10,57.33625,"Acadia Aqua Farm"
"215",2021-10-11,57.21375,"Acadia Aqua Farm"
"216",2021-10-12,57.3,"Acadia Aqua Farm"
"217",2021-10-13,57.2475,"Acadia Aqua Farm"
"218",2021-10-14,57.2529166666667,"Acadia Aqua Farm"
"219",2021-10-15,57.3175,"Acadia Aqua Farm"
"220",2021-10-16,57.3016666666667,"Acadia Aqua Farm"
"221",2021-10-17,57.6158333333333,"Acadia Aqua Farm"
"222",2021-10-18,57.6133333333333,"Acadia Aqua Farm"
"223",2021-10-19,57.38875,"Acadia Aqua Farm"
"224",2021-10-20,57.07125,"Acadia Aqua Farm"
"225",2021-10-21,56.9575,"Acadia Aqua Farm"
"226",2021-10-22,57.0016666666667,"Acadia Aqua Farm"
"227",2021-10-23,56.9929166666667,"Acadia Aqua Farm"
"228",2021-10-24,56.6629166666667,"Acadia Aqua Farm"
"229",2021-10-25,56.4375,"Acadia Aqua Farm"
"230",2021-10-26,56.2595833333333,"Acadia Aqua Farm"
"231",2021-10-27,55.7716666666667,"Acadia Aqua Farm"
"232",2021-10-28,55.5320833333333,"Acadia Aqua Farm"
"233",2021-10-29,55.42375,"Acadia Aqua Farm"
"234",2021-10-30,55.405,"Acadia Aqua Farm"
"235",2021-10-31,55.16,"Acadia Aqua Farm"
"236",2021-11-01,55.1729166666667,"Acadia Aqua Farm"
"237",2021-11-02,55.3179166666667,"Acadia Aqua Farm"
"238",2021-11-03,55.265,"Acadia Aqua Farm"
"239",2021-11-04,55.0291666666667,"Acadia Aqua Farm"
"240",2021-11-05,54.8291666666667,"Acadia Aqua Farm"
"241",2021-11-06,54.32625,"Acadia Aqua Farm"
"242",2021-11-07,54.1320833333333,"Acadia Aqua Farm"
